Bash version 5.0.16(1)-release...
Welcome 1 times
Nodes num:  100  AS: 50 Step  23 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  24 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  25 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  26 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  27 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  28 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  29 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  30 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  31 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  32 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  33 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  34 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  35 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  36 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  37 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  38 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  39 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  40 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  41 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  42 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  43 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  44 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  45 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  46 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  47 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  48 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Nodes num:  100  AS: 50 Step  49 ; sS:  2849  avg  28.49 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.82 ; Done: 100
Welcome 4 times
Nodes num:  100  AS: 50 Step  1 ; sS:  2076  avg  20.76 ; cS:  5358  avg  53.58 ; tC  0  avg  0.0 ; avgNs:  2.56 ; Done: 41
Nodes num:  100  AS: 50 Step  2 ; sS:  2401  avg  24.01 ; cS:  2917  avg  29.17 ; tC  236  avg  2.36 ; avgNs:  2.56 ; Done: 67
Nodes num:  100  AS: 50 Step  3 ; sS:  2577  avg  25.77 ; cS:  2360  avg  23.6 ; tC  42  avg  0.42 ; avgNs:  2.56 ; Done: 72
Nodes num:  100  AS: 50 Step  4 ; sS:  3970  avg  39.7 ; cS:  526  avg  5.26 ; tC  4434  avg  44.34 ; avgNs:  2.56 ; Done: 91
Nodes num:  100  AS: 50 Step  5 ; sS:  3040  avg  30.4 ; cS:  17  avg  0.17 ; tC  852  avg  8.52 ; avgNs:  2.56 ; Done: 99
Nodes num:  100  AS: 50 Step  6 ; sS:  2920  avg  29.2 ; cS:  65  avg  0.65 ; tC  94  avg  0.94 ; avgNs:  2.56 ; Done: 95
Nodes num:  100  AS: 50 Step  7 ; sS:  2974  avg  29.74 ; cS:  0  avg  0.0 ; tC  62  avg  0.62 ; avgNs:  2.56 ; Done: 100
Nodes num:  100  AS: 50 Step  8 ; sS:  2950  avg  29.5 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.56 ; Done: 100
Nodes num:  100  AS: 50 Step  9 ; sS:  2950  avg  29.5 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.56 ; Done: 100
Nodes num:  100  AS: 50 Step  10 ; sS:  2950  avg  29.5 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.56 ; Done: 100
Nodes num:  100  AS: 50 Step  11 ; sS:  2950  avg  29.5 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.56 ; Done: 100
Nodes num:  100  AS: 50 Step  12 ; sS:  2950  avg  29.5 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.56 ; Done: 100
Nodes num:  100  AS: 50 Step  13 ; sS:  2950  avg  29.5 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.56 ; Done: 100
Nodes num:  100  AS: 50 Step  14 ; sS:  2950  avg  29.5 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.56 ; Done: 100
Nodes num:  100  AS: 50 Step  15 ; sS:  2950  avg  29.5 ; cS:  0  avg  0.0 ; tC  0  avg  0.0 ; avgNs:  2.56 ; Done: 100
